k,SSet
2,4.449390823
3,6.24170058
4,7.333654323
5,7.644135555
6,8.302701511
7,7.95716475
8,8.276914099
9,8.205989384
10,8.435253444
11,8.223782424
12,8.909511254
13,8.715833871
14,8.457022572
15,8.533385645
16,8.796531516
17,8.898474403
18,8.95771655
19,8.593704764
20,8.965551892
21,8.91363556
22,8.969792611
23,8.862656901
24,9.073636567
25,9.086103984
26,8.837488304
27,8.762728572
28,9.099657493
29,9.199105383
30,9.056098016
31,8.848493658
32,9.040191251
33,9.241944486
34,9.132109058
35,8.922904083
36,9.052606551
37,9.218607453
38,9.114510206
39,9.281097474
40,9.068944561
41,8.830657909
42,9.069353254
43,9.269858452
44,9.274467418
45,9.112713779
46,9.291131415
47,9.241673793
48,9.276404674
49,9.333827737
50,9.391699915
51,9.158050844
52,9.179182835
53,9.304742835
54,9.391331392
55,9.252473816
56,9.312301797
57,9.307588805
58,9.384817046
59,9.29315711
60,9.364333093
61,9.361949626
62,9.329253455
63,9.513291153
64,9.471061383
65,9.473992934
66,9.503492683
67,9.436767684
68,9.60871433
69,9.522604547
70,9.456705044
71,9.305615556
72,9.514139491
73,9.651538634
74,9.486104256
75,9.551501358
76,9.654779465
77,9.678180621
78,9.459491552
79,9.42729979
80,9.498311856
81,9.712990261
82,9.65649711
83,9.649855096
84,9.583530242
85,9.580382496
86,9.636870157
87,9.636109656
88,9.453546353
89,9.74391284
90,9.820721253
91,9.546280577
92,9.639634501
93,9.641137002
94,9.695105002
95,9.750918185
96,9.778904544
97,9.820160244
98,9.95245836
99,9.799971116
100,9.770951902